Date,Open,High,Low,Last,Volume,Turnover
2020-11-11,119.0,120.35,114.5,116.9,1303991.0,151911153.0
2020-11-10,114.0,120.8,114.0,118.75,2821604.0,334047652.0
2020-11-09,100.9,119.7,100.35,113.0,3155584.0,355529467.0
2020-11-06,99.44,100.35,98.16,99.14,969884.0,96124561.0
2020-11-05,98.54,100.45,98.54,99.86,1036414.0,103225767.0
2020-11-04,95.24,99.5,94.66,98.14,1021004.0,99878794.0
2020-11-03,92.8,97.28,92.56,96.94,1201924.0,115701043.0
2020-11-02,91.32,92.4,88.84,91.54,806707.0,73539180.0
2020-10-30,86.68,91.46,86.5,90.52,1256817.0,113146230.0
2020-10-29,88.54,89.92,85.94,87.56,1208594.0,105922639.0
2020-10-28,88.7,89.48,85.64,88.7,1719112.0,151364785.0
2020-10-27,93.52,93.6,89.26,91.18,1119961.0,102008676.0
2020-10-26,95.16,97.14,93.38,93.58,1079449.0,102103336.0
2020-10-23,91.38,97.34,91.26,96.58,1190507.0,113768171.0
2020-10-22,90.5,91.52,89.5,91.42,699652.0,63571840.0
2020-10-21,93.98,94.2,90.4,91.0,1072986.0,98155896.0
2020-10-20,90.0,94.26,89.96,93.18,1173686.0,109219024.0
2020-10-19,90.52,92.26,90.14,91.4,621942.0,56761530.0
2020-10-16,88.22,92.24,87.64,90.74,1317660.0,118784685.0
2020-10-15,84.82,87.9,84.26,87.56,1408169.0,121341973.0
2020-10-14,85.36,86.54,84.48,86.12,741481.0,63624635.0
2020-10-13,86.84,86.84,85.12,85.28,761684.0,65208323.0
2020-10-12,88.32,88.6,86.88,87.0,762345.0,66663588.0
2020-10-09,87.56,89.44,87.22,88.66,992144.0,87757912.0
2020-10-08,86.42,88.76,85.56,87.14,797372.0,69724918.0
2020-10-07,86.0,86.46,84.7,85.6,1226260.0,104906481.0
2020-10-06,84.64,88.36,84.64,87.2,922992.0,80443902.0
2020-10-05,85.56,86.88,84.46,84.8,636813.0,54244355.0
2020-10-02,83.4,84.52,81.68,84.4,841432.0,70177970.0
2020-10-01,85.38,85.86,83.18,84.18,1098432.0,92706776.0
2020-09-30,83.9,86.02,83.1,84.44,1161555.0,98086691.0
2020-09-29,85.5,85.96,84.66,85.3,995345.0,84884345.0
2020-09-28,86.92,88.46,85.48,85.7,1470087.0,126869059.0
2020-09-25,83.0,85.22,80.64,85.22,1583389.0,132004749.0
2020-09-24,84.42,84.8,82.68,82.88,1380610.0,115299698.0
2020-09-23,90.0,90.74,85.8,85.8,1490090.0,130731964.0
2020-09-22,90.82,90.86,88.5,88.98,1254960.0,112169617.0
2020-09-21,94.1,94.14,88.72,88.72,1323170.0,118891362.0
2020-09-18,97.56,97.58,94.76,95.2,2176116.0,208258049.0
2020-09-17,96.52,98.32,96.22,98.0,630808.0,61555157.0
2020-09-16,96.86,97.98,95.64,97.48,686648.0,66719860.0
2020-09-15,97.7,98.6,96.88,96.94,495528.0,48198505.0
2020-09-14,98.3,99.56,97.38,97.48,591911.0,58021128.0
2020-09-11,96.62,98.14,95.6,97.18,617036.0,59652600.0
2020-09-10,97.4,98.16,96.18,97.08,615114.0,59693185.0
2020-09-09,97.52,98.32,95.36,97.44,809049.0,78502504.0
2020-09-08,100.75,101.0,95.68,98.22,847782.0,82985419.0
2020-09-07,98.5,101.8,97.88,100.9,692024.0,69595439.0
2020-09-04,96.8,100.5,96.1,97.24,836528.0,82029692.0
2020-09-03,101.0,103.85,96.54,97.68,862188.0,86006866.0
2020-09-02,98.26,101.1,98.18,100.45,566004.0,56673864.0
2020-09-01,98.0,98.44,95.1,98.0,1041305.0,100977243.0
2020-08-31,102.95,102.95,97.02,97.02,777286.0,76696902.0
2020-08-28,101.0,103.15,99.42,102.25,919073.0,93651761.0
2020-08-27,99.9,102.1,98.14,100.95,625286.0,62668857.0
2020-08-26,98.6,100.65,97.86,99.86,410734.0,40927114.0
2020-08-25,100.4,102.0,99.36,99.36,702343.0,70530368.0
2020-08-24,97.98,100.25,97.34,100.05,687312.0,68089181.0
2020-08-21,98.0,99.44,94.42,97.24,898533.0,86859270.0
2020-08-20,98.32,98.96,96.94,97.64,575084.0,56143407.0
2020-08-19,98.86,99.64,97.8,99.38,441473.0,43682825.0
2020-08-18,100.6,101.2,98.54,99.12,729229.0,72648762.0
2020-08-17,101.7,102.5,100.3,101.1,487878.0,49436136.0
2020-08-14,103.0,103.05,100.9,101.5,589066.0,59908903.0
2020-08-13,102.8,104.75,102.3,103.75,567810.0,59021292.0
2020-08-12,105.7,106.05,103.4,103.5,703031.0,73153078.0
2020-08-11,101.75,106.95,101.75,106.4,1282617.0,135388503.0
2020-08-10,98.5,100.9,98.08,100.75,813373.0,81521149.0
2020-08-07,98.4,98.54,96.3,97.72,750463.0,72997938.0
2020-08-06,96.4,98.7,96.24,98.54,1247729.0,122328301.0
2020-08-05,92.86,97.08,92.86,96.92,918706.0,88252515.0
2020-08-04,90.64,93.18,90.14,92.28,815787.0,75222606.0
2020-08-03,89.92,90.24,85.82,89.62,1188941.0,105233133.0
2020-07-31,93.88,94.76,89.44,89.44,1250463.0,113706478.0
2020-07-30,93.12,95.82,92.48,94.24,1450981.0,136669701.0
2020-07-29,90.02,93.16,90.02,90.7,875036.0,80101385.0
2020-07-28,87.1,90.48,87.1,90.36,876004.0,78324372.0
2020-07-27,87.52,87.86,86.4,86.96,815159.0,70962844.0
2020-07-24,87.78,88.54,86.44,88.54,918722.0,80808619.0
2020-07-23,92.16,92.16,88.58,88.96,838505.0,75017351.0
2020-07-22,93.4,93.6,90.36,91.46,716312.0,65552129.0
2020-07-21,94.3,96.88,93.58,93.58,890770.0,84502705.0
2020-07-20,93.04,93.9,91.3,93.2,586573.0,54512100.0
2020-07-17,93.82,94.68,92.2,93.12,881139.0,82072553.0
2020-07-16,95.2,95.58,93.64,94.02,826601.0,77837871.0
2020-07-15,91.4,96.64,91.14,95.72,1537193.0,146031599.0
2020-07-14,91.0,91.54,87.94,89.74,879006.0,78594436.0
2020-07-13,89.8,92.88,89.02,92.5,1043204.0,95213222.0
2020-07-10,87.6,89.96,86.76,88.92,783405.0,69557887.0
2020-07-09,90.76,91.6,87.8,88.28,836595.0,74572633.0
2020-07-08,90.1,90.92,88.6,90.04,916558.0,82358604.0
2020-07-07,92.38,92.68,89.82,91.4,1085450.0,98951197.0
2020-07-06,92.58,93.96,91.54,92.84,744752.0,69080181.0
2020-07-03,91.6,92.62,89.54,90.7,529515.0,47966867.0
2020-07-02,90.6,93.66,90.02,91.56,1084038.0,99727542.0
2020-07-01,89.34,90.72,84.96,89.9,1339896.0,118374327.0
2020-06-30,90.2,91.94,88.18,89.22,1471076.0,131980528.0
2020-06-29,87.52,90.88,87.0,89.18,1183517.0,105632934.0
2020-06-26,90.42,92.22,87.24,87.8,1208231.0,107549051.0
2020-06-25,89.3,90.52,86.8,88.9,1390156.0,123315108.0
2020-06-24,94.88,95.5,89.7,89.76,1160580.0,105531300.0
2020-06-23,94.1,96.72,93.26,95.12,1141008.0,108623765.0
2020-06-22,92.5,95.14,90.74,93.54,823586.0,76956413.0
2020-06-19,96.86,97.26,94.14,94.38,2603303.0,246389188.0
2020-06-18,95.96,97.0,91.4,95.66,1476317.0,140347722.0
2020-06-17,94.98,98.04,94.2,97.5,1338392.0,129575021.0
2020-06-16,95.0,97.08,92.0,94.64,1458770.0,137970911.0
2020-06-15,87.2,91.96,86.26,91.9,1241381.0,111987861.0
2020-06-12,87.66,93.62,87.1,89.84,1341227.0,121310508.0
2020-06-11,93.4,94.2,88.92,88.96,1462858.0,132474940.0
2020-06-10,97.22,100.9,94.16,96.5,1405415.0,135096647.0
2020-06-09,103.0,104.6,96.22,97.18,1493927.0,147236989.0
2020-06-08,101.0,103.25,100.35,102.0,1474926.0,150306785.0
2020-06-05,100.3,105.4,100.15,101.95,2071782.0,212360749.0
2020-06-04,97.74,99.18,94.82,98.6,1621645.0,157931701.0
2020-06-03,95.4,99.34,93.9,98.0,1249792.0,121529834.0
2020-06-02,89.0,93.96,88.32,93.52,1461630.0,135426682.0
2020-06-01,87.4,88.78,85.9,88.3,748730.0,65747333.0
2020-05-29,87.84,87.84,85.56,85.86,1732673.0,149258276.0
2020-05-28,89.9,91.24,88.14,88.88,1475745.0,131859471.0
2020-05-27,86.5,89.02,84.44,87.68,1538130.0,134643668.0
2020-05-26,81.54,87.08,81.04,86.6,1505588.0,128677144.0
2020-05-25,76.8,80.36,75.78,80.36,1055753.0,83694478.0
2020-05-22,76.94,77.04,74.52,75.68,1073778.0,81420708.0
2020-05-21,77.12,79.3,76.46,77.32,724008.0,56116798.0
2020-05-20,77.84,78.26,75.24,77.98,741832.0,57379917.0
2020-05-19,79.5,80.86,76.06,78.48,1271555.0,99652141.0
2020-05-18,74.4,79.48,74.3,79.48,1110528.0,86549522.0
2020-05-15,74.22,75.16,72.62,73.0,863721.0,63656430.0
2020-05-14,74.0,75.42,70.38,73.66,1363909.0,99810521.0
2020-05-13,75.7,76.7,74.0,75.5,1226401.0,92806421.0
2020-05-12,77.0,78.8,75.72,77.28,1177046.0,91044170.0
2020-05-11,81.62,81.66,77.34,78.5,695735.0,54507202.0
2020-05-08,81.88,82.62,80.82,81.12,418993.0,34060848.0
2020-05-07,78.22,81.08,78.0,81.08,664081.0,53304173.0
2020-05-06,79.4,80.24,77.12,78.36,668829.0,52496818.0
2020-05-05,78.94,81.36,77.98,80.0,1000378.0,79840751.0
2020-05-04,81.44,81.84,77.28,78.0,1541832.0,121600815.0
2020-04-30,91.84,93.2,83.98,84.22,2072508.0,180013623.0
2020-04-29,81.02,87.42,80.68,87.3,1131310.0,96791002.0
2020-04-28,77.8,82.4,77.2,82.3,1024730.0,83103370.0
2020-04-27,78.3,78.5,75.52,77.32,565718.0,43592027.0
2020-04-24,75.1,76.88,74.0,76.18,886829.0,67368930.0
2020-04-23,75.14,78.28,72.82,77.6,900028.0,68565976.0
2020-04-22,74.1,75.32,72.5,75.0,907278.0,67543286.0
2020-04-21,79.54,79.92,73.8,73.92,1141912.0,86010658.0
2020-04-20,81.0,82.0,79.22,80.9,856375.0,68974682.0
2020-04-17,79.02,83.16,78.66,80.5,1922871.0,156150081.0
2020-04-16,74.84,77.46,73.16,75.04,1297232.0,97616601.0
2020-04-15,79.0,79.6,72.5,74.0,1502535.0,112012424.0
2020-04-14,80.38,80.84,75.24,79.76,1417175.0,111298095.0
2020-04-09,76.32,79.6,73.26,79.6,1913846.0,149146726.0
2020-04-08,70.64,74.98,67.02,74.98,1670478.0,120516534.0
2020-04-07,70.8,75.96,70.3,72.0,2098675.0,153274177.0
2020-04-06,66.5,68.5,64.5,67.36,1705396.0,114053018.0
2020-04-03,68.28,68.72,63.0,63.0,1616954.0,104800740.0
2020-04-02,70.12,71.42,67.94,68.6,1828156.0,126634896.0
2020-04-01,75.0,76.82,66.96,66.96,2653969.0,184716375.0
2020-03-31,87.44,88.38,79.18,80.14,2177145.0,177459139.0
2020-03-30,86.82,89.6,78.1,84.9,1448441.0,121941672.0
2020-03-27,89.0,93.24,86.14,87.0,2057493.0,182746457.0
2020-03-26,80.0,91.92,77.16,91.92,2117104.0,182502477.0
2020-03-25,71.9,82.78,69.22,81.98,2163725.0,166854708.0
2020-03-24,61.5,70.92,60.0,68.98,2132119.0,141522572.0
2020-03-23,62.58,66.56,56.32,57.04,2529320.0,152251879.0
2020-03-20,59.72,69.48,57.0,66.2,5318333.0,339015914.0
2020-03-19,52.1,58.76,51.1,55.5,3839535.0,211015040.0
2020-03-18,66.0,67.5,52.1,53.14,3766441.0,214668608.0
2020-03-17,77.22,78.78,63.0,68.9,3376431.0,236188975.0
2020-03-16,78.28,79.8,70.22,74.54,3646779.0,270193132.0
2020-03-13,88.44,91.74,82.44,84.28,3676785.0,320037250.0
2020-03-12,93.58,97.1,84.5,85.56,4003276.0,359458567.0
2020-03-11,107.2,107.85,102.2,102.9,2546518.0,265467478.0
2020-03-10,108.3,111.45,105.35,105.65,2445325.0,263426786.0
2020-03-09,109.4,111.1,105.6,107.5,3054045.0,330238726.0
2020-03-06,118.85,119.6,114.7,115.15,2276270.0,264023067.0
2020-03-05,127.85,128.25,121.45,122.0,1520025.0,186761519.0
2020-03-04,127.1,128.6,125.75,126.95,1393136.0,177143902.0
2020-03-03,125.1,129.1,123.85,127.15,2055525.0,260457353.0
2020-03-02,125.7,126.8,119.1,123.3,2599125.0,318180026.0
2020-02-28,124.0,126.3,121.65,124.1,2928620.0,362827521.0
2020-02-27,130.15,134.15,127.9,129.65,2131817.0,278154726.0
